"","product","orderId","clientId","gender","orderdate","grossmarg"
"1","高麗菜",582,230,"女性",2017-01-08,10
"2","高麗菜",2,276,"男性",2017-02-18,10
"3","高麗菜",725,277,"女性",2017-02-03,10
"4","高麗菜",597,279,"男性",2017-03-05,10
"5","高麗菜",761,92,"女性",2017-02-08,10
"6","高麗菜",95,190,"男性",2017-04-05,10
"7","高麗菜",426,241,"男性",2017-01-30,10
"8","高麗菜",321,115,"男性",2017-01-18,10
"9","高麗菜",239,15,"女性",2017-03-15,10
"10","高麗菜",822,164,"女性",2017-02-17,10
"11","高麗菜",430,167,"女性",2017-03-16,10
"12","高麗菜",519,86,"女性",2017-03-02,10
"13","高麗菜",914,246,"男性",2017-02-27,10
"14","高麗菜",392,106,"男性",2017-03-08,10
"15","高麗菜",505,51,"男性",2017-03-01,10
"16","高麗菜",875,235,"女性",2017-01-08,10
"17","高麗菜",328,115,"男性",2017-02-05,10
"18","高麗菜",76,218,"男性",2017-03-06,10
"19","高麗菜",1,166,"男性",2017-04-07,10
"20","高麗菜",775,143,"女性",2017-04-11,10
"21","高麗菜",135,26,"男性",2017-01-08,10
"22","高麗菜",695,97,"女性",2017-01-09,10
"23","高麗菜",858,295,"女性",2017-01-15,10
"24","高麗菜",364,258,"女性",2017-01-12,10
"25","高麗菜",58,73,"男性",2017-02-26,10
"26","高麗菜",165,225,"女性",2017-04-02,10
"27","高麗菜",987,132,"男性",2017-02-15,10
"28","高麗菜",505,51,"男性",2017-03-01,10
"29","高麗菜",305,275,"女性",2017-01-17,10
"30","高麗菜",786,290,"女性",2017-02-18,10
"31","高麗菜",527,220,"女性",2017-01-28,10
"32","高麗菜",903,196,"女性",2017-03-12,10
"33","高麗菜",14,297,"女性",2017-01-21,10
"34","高麗菜",58,73,"男性",2017-02-26,10
"35","高麗菜",222,284,"女性",2017-01-19,10
"36","高麗菜",82,266,"男性",2017-03-18,10
"37","高麗菜",200,285,"男性",2017-01-21,10
"38","高麗菜",639,260,"女性",2017-03-12,10
"39","高麗菜",448,38,"女性",2017-03-26,10
"40","高麗菜",560,224,"女性",2017-01-02,10
"41","高麗菜",724,174,"女性",2017-03-25,10
"42","高麗菜",113,250,"女性",2017-01-12,10
"43","高麗菜",667,216,"男性",2017-01-29,10
"44","高麗菜",428,31,"男性",2017-02-22,10
"45","高麗菜",139,85,"女性",2017-03-25,10
"46","高麗菜",18,47,"男性",2017-02-14,10
"47","高麗菜",857,21,"男性",2017-02-07,10
"48","高麗菜",751,117,"男性",2017-03-24,10
"49","高麗菜",785,76,"女性",2017-02-09,10
"50","高麗菜",375,72,"男性",2017-04-04,10
"51","高麗菜",267,1,"男性",2017-02-26,10
"52","高麗菜",301,253,"女性",2017-04-05,10
"53","高麗菜",921,148,"女性",2017-03-05,10
"54","高麗菜",534,168,"女性",2017-02-01,10
"55","高麗菜",700,34,"男性",2017-03-15,10
"56","高麗菜",451,175,"女性",2017-04-05,10
"57","高麗菜",265,235,"女性",2017-04-06,10
"58","高麗菜",733,106,"男性",2017-02-11,10
"59","高麗菜",555,156,"女性",2017-03-21,10
"60","高麗菜",518,12,"男性",2017-02-22,10
"61","高麗菜",202,186,"女性",2017-03-04,10
"62","高麗菜",188,202,"男性",2017-01-18,10
"63","高麗菜",161,220,"女性",2017-01-13,10
"64","高麗菜",185,165,"女性",2017-01-14,10
"65","高麗菜",259,104,"女性",2017-02-16,10
"66","高麗菜",662,75,"男性",2017-01-20,10
"67","高麗菜",222,284,"女性",2017-01-19,10
"68","高麗菜",260,239,"女性",2017-03-15,10
"69","高麗菜",675,47,"男性",2017-01-29,10
"70","高麗菜",80,122,"男性",2017-01-24,10
"71","高麗菜",31,43,"女性",2017-03-28,10
"72","高麗菜",925,263,"女性",2017-01-19,10
"73","高麗菜",802,210,"女性",2017-01-15,10
"74","高麗菜",181,165,"女性",2017-02-19,10
"75","高麗菜",444,195,"女性",2017-03-03,10
"76","高麗菜",393,60,"男性",2017-03-27,10
"77","高麗菜",6,34,"男性",2017-03-16,10
"78","高麗菜",507,93,"女性",2017-01-05,10
"79","高麗菜",665,220,"女性",2017-02-02,10
"80","高麗菜",598,79,"男性",2017-03-12,10
"81","高麗菜",539,175,"女性",2017-04-08,10
"82","高麗菜",487,130,"男性",2017-01-19,10
"83","高麗菜",640,252,"女性",2017-03-31,10
"84","高麗菜",699,119,"男性",2017-01-16,10
"85","高麗菜",83,88,"女性",2017-01-03,10
"86","高麗菜",929,23,"男性",2017-02-17,10
"87","高麗菜",18,47,"男性",2017-02-14,10
"88","高麗菜",237,298,"女性",2017-02-26,10
"89","高麗菜",588,83,"男性",2017-03-13,10
"90","高麗菜",460,108,"男性",2017-02-17,10
"91","高麗菜",292,213,"男性",2017-03-12,10
"92","高麗菜",145,258,"女性",2017-03-18,10
"93","高麗菜",904,90,"女性",2017-03-04,10
"94","高麗菜",209,274,"男性",2017-02-01,10
"95","高麗菜",155,219,"女性",2017-03-12,10
"96","高麗菜",519,86,"女性",2017-03-02,10
"97","高麗菜",20,77,"女性",2017-01-09,10
"98","高麗菜",365,289,"女性",2017-03-02,10
"99","高麗菜",302,171,"女性",2017-01-08,10
"100","高麗菜",195,119,"男性",2017-04-08,10
"101","高麗菜",748,97,"女性",2017-03-05,10
"102","高麗菜",341,153,"男性",2017-04-04,10
"103","高麗菜",728,142,"女性",2017-01-27,10
"104","高麗菜",167,295,"女性",2017-03-22,10
"105","高麗菜",333,282,"女性",2017-03-12,10
"106","高麗菜",375,72,"男性",2017-04-04,10
"107","高麗菜",623,224,"女性",2017-03-11,10
"108","高麗菜",132,110,"男性",2017-02-26,10
"109","高麗菜",916,27,"男性",2017-03-09,10
"110","高麗菜",271,215,"男性",2017-02-02,10
"111","高麗菜",233,116,"女性",2017-03-01,10
"112","高麗菜",169,71,"女性",2017-01-23,10
"113","高麗菜",180,207,"女性",2017-03-03,10
"114","高麗菜",852,218,"男性",2017-04-08,10
"115","高麗菜",181,165,"女性",2017-02-19,10
"116","高麗菜",870,60,"男性",2017-03-18,10
"117","高麗菜",327,200,"男性",2017-01-16,10
"118","高麗菜",523,281,"女性",2017-01-16,10
"119","高麗菜",15,280,"女性",2017-03-11,10
"120","高麗菜",796,185,"男性",2017-02-03,10
"121","高麗菜",25,138,"女性",2017-03-30,10
"122","高麗菜",580,120,"女性",2017-01-10,10
"123","高麗菜",715,15,"女性",2017-03-21,10
